,time,pos,vel,torque
58,0.58,(0.48075894155464843-2.728484105318785e-16j),(8.389536373817835+5.684341886080802e-17j),(-1.4130067112838234-3.296918293926865e-16j)
59,0.59,(0.5660968915805337+2.728484105318785e-16j),(8.44900359829446+3.410605131648481e-16j),(-1.1768890604076814+2.2737367544323206e-16j)
60,0.6,(0.6510359998463733-3.637978807091713e-16j),(8.390563366979944+6.821210263296962e-17j),(-0.9240669960075171-4.5474735088646414e-17j)
61,0.61,(0.7355118493609772+9.094947017729283e-17j),(8.21442670665874-2.2168933355715127e-16j),(-0.6589034709044603-1.5916157281026244e-16j)
62,0.62,(0.8194603600569542-2.728484105318785e-16j),(8.364554611409117+9.094947017729283e-17j),(-0.38599434616803596+4.5474735088646414e-17j)
63,0.63,(0.9028178399603323-9.094947017729283e-17j),(7.970122651853097+6.252776074688882e-17j),(-0.11009216398353293-2.0463630789890887e-16j)
64,0.64,(0.9855210362298071+9.094947017729283e-17j),(8.298342332427582-4.774847184307874e-16j),(0.1639731374203864+1.1368683772161603e-16j)
65,0.65,(1.067507186022986-9.094947017729283e-17j),(7.731604805005972-7.958078640513122e-17j),(0.4313751253855957+4.5474735088646414e-17j)
66,0.66,(1.1487140671466045-9.094947017729283e-17j),(8.18046182316475-1.9326762412674726e-16j),(0.6873719184016324+2.0463630789890887e-16j)
67,0.67,(1.2290800484472881-4.547473508864641e-16j),(7.511473191128697-4.4337866711430254e-16j),(0.927385899795482+4.0927261579781775e-16j)
68,0.68,(1.3085441398991335-9.094947017729283e-17j),(8.002944136430303-2.6147972675971686e-16j),(1.1470806483708123-9.094947017729283e-17j)
69,0.6900000000000001,(1.3870460423440458-9.094947017729283e-17j),(7.317766461005639-2.899014361901209e-16j),(1.3424336869934592+2.2737367544323207e-17j)
70,0.7000000000000001,(1.4645261968405436-2.728484105318785e-16j),(7.762649735689025-3.012701199622825e-16j),(1.509803728736336+2.0463630789890887e-16j)
71,0.71,(1.5409258335764964-1.3642420526593925e-16j),(7.152898675043388-3.979039320256561e-16j),(1.6459912037446702+6.821210263296962e-17j)
72,0.72,(1.6161870203011186-9.094947017729283e-17j),(7.461944995824813-1.9326762412674726e-16j),(1.7482909764571277+4.5474735088646414e-17j)
73,0.73,(1.690252710231385-1.8189894035458566e-16j),(7.013336331502609-1.9326762412674726e-16j),(1.814536309775747+2.955857780762017e-16j)
74,0.74,(1.7630667893879821-2.2737367544323206e-16j),(7.108616380949187-4.320099833421409e-16j),(1.8431332973813412+3.183231456205249e-16j)
75,0.75,(1.8345741233158392-2.728484105318785e-16j),(6.890067850157182-1.7053025658242405e-16j),(1.833085164467808+2.501110429875553e-16j)
76,0.76,(1.9047206031443447-4.5474735088646414e-17j),(6.715025739918779-4.0927261579781775e-16j),(1.7840060272703406-2.955857780762017e-16j)
77,0.77,(1.9734531909423678+1.3642420526593925e-16j),(6.769806503293963-3.183231456205249e-16j),(1.6961238992328047+3.979039320256561e-16j)
78,0.78,(2.0407199643233667-2.2737367544323206e-16j),(6.2966187835391745-5.684341886080802e-16j),(1.5702729327053466+6.821210263296962e-17j)
79,0.79,(2.106470160256003+0j),(6.636764563133559+4.5474735088646414e-17j),(1.4078750858287017+0j)
80,0.8,(2.170654218035918-2.716349743419055e-16j),(5.869991741266112-3.371030695333927e-16j),(1.2109116009021168+2.8567458248857496e-16j)
81,0.81,(2.2332238213746036-1.7608677497693593e-16j),(6.4747560727499565-4.347348843699389e-16j),(0.9818848692890534+3.3114931757722134e-16j)
82,0.8200000000000001,(2.294131939561628-1.8068550416461265e-16j),(5.450784989451777+5.212251228666493e-17j),(0.7237714351896432+1.4759170861394818e-16j)
83,0.8300000000000001,(2.3533328676568614-8.05385756119664e-17j),(6.269339722420378-2.7388098076628587e-16j),(0.43996705303017863+4.141270369463721e-18j)
84,0.84,(2.4107822656698104-3.5063840523319985e-17j),(5.051697852803257-2.795653226523667e-16j),(0.13422485771048015+2.1676160045375302e-16j)
85,0.85,(2.466437196683637-3.5063840523319985e-17j),(6.009708430814784-3.023026901966899e-16j),(-0.18941216921508142+7.012768104663997e-17j)
86,0.86,(2.5202561638820398-1.9856786412719878e-16j),(4.680902110657879-3.2504005774101307e-16j),(-0.5266831534877287+1.0914320650384702e-16j)
87,0.87,(2.572199146437755-1.9856786412719878e-16j),(5.690069066632312-2.420746097491007e-16j),(-0.8731843422772052+2.54252313357019e-16j)
88,0.88,(2.622227634222142-1.260133107006128e-16j),(4.341075382658539-3.477774252853363e-16j),(-1.2244457687683272+1.3763890427775727e-16j)
89,0.89,(2.6703046612960275-3.34992069393138e-16j),(5.310328950369817-1.5450980115858905e-16j),(-1.57600813479913-6.40708322635059e-17j)
90,0.9,(2.716394838142799-2.440425992158452e-16j),(4.0291876573305725-3.8276207142960056e-16j),(-1.9234984839327438-1.8596097174859487e-17j)
91,0.91,(2.7604643826055777+8.22645685900601e-17j),(4.87600474912558-1.6249382334396948e-16j),(-2.2627032694031226+1.2702556646643316e-16j)
92,0.92,(2.802481149491215-1.6668923772613146e-17j),(3.73706745262328-4.751326270784136e-16j),(-2.589637479995945+6.315591462707992e-17j)
93,0.93,(2.8424146588048322-5.3458757274026824e-17j),(4.397379814778381-1.6881172026249636e-16j),(-2.900608570887254+1.0863064971572635e-16j)
94,0.9400000000000001,(2.880236122579649-5.08206108160491e-16j),(3.4526638634227256-2.989180286099087e-16j),(-3.192274054052962-5.598621986604916e-17j)
95,0.9500000000000001,(2.9159184702679326-1.530931290385524e-16j),(3.888041986074525-3.870541191508403e-17j),(-3.4616917319183655-1.83212966756635e-16j)
96,0.96,(2.949436372660047+1.1107037990609336e-16j),(3.1618229358871384+1.8746984787746316e-16j),(-3.7063617058643636-6.731103743738312e-17j)
97,0.97,(2.9807662642997785+2.6416350894464575e-16j),(3.3630201345184654-1.1992651440256464e-16j),(-3.9242594551134187+1.8281060590832972e-16j)
98,0.98,(3.009886364365374-9.094947017729283e-17j),(2.850325459957284-4.753895368833963e-16j),(-4.113859458149572+1.8604021072404937e-16j)
99,0.99,(3.0367766959870437-7.984022185380413e-18j),(2.8367919387431955+2.1178227629993452e-16j),(-4.274149014712283+3.991659065279356e-17j)
100,1.0,(3.061419103973046-1.9856786412719878e-16j),(2.5058985696067024-4.541898397034353e-16j),(-4.404632117903205-1.2673990572330716e-16j)
101,1.01,(3.0837972709178794-2.728484105318785e-16j),(2.3214498656216747+2.242372041814227e-16j),(-4.5053234193208835-2.7337382513042015e-16j)
102,1.02,(3.1038967316676063+2.388096835847999e-16j),(2.1199203259309627-3.4861547906969107e-16j),(-4.576732521628376-2.3041369482337513e-16j)
103,1.03,(3.121704886118828-2.728484105318785e-16j),(1.8252852518745684-5.584847025996454e-16j),(-4.619839018849559+7.593256325651112e-18j)
104,1.04,(3.137211010329422-3.9052725934618474e-16j),(1.6885835396585267-3.3651059454709603e-16j),(-4.636058881389293+2.6234978356489675e-16j)
105,1.05,(3.1504062659207634-1.791478338002506e-16j),(1.3519858979194723-3.38331776585011e-16j),(-4.62720294687898+2.5384034678097467e-16j)
106,1.06,(3.161283707752824+1.3779975854310677e-16j),(1.2133654306511128-1.474162438106376e-16j),(-4.595428426317933-4.813274702467041e-16j)
107,1.07,(3.169838289855249-6.559564481744695e-17j),(0.9005503104728921+2.8035176074092806e-18j),(-4.543184464784588+1.629120773199969e-16j)
108,1.08,(3.1760668695992726-4.5474735088646414e-17j),(0.7007514791736609-1.5904183738778208e-16j),(-4.4731529047745315+4.961600545811014e-17j)
109,1.09,(3.1799682100971247-2.6729378637013412e-17j),(0.4659152764825436+3.316327468530819e-16j),(-4.388185485946897-1.9411648021561203e-16j)
110,1.1,(3.1815429808174094-2.71472857254711e-16j),(0.16127008432157283-1.6335642349098332e-16j),(-4.291238776146942+2.2353265658693925e-17j)
111,1.11,(3.1807937564068234+2.0201985008338618e-16j),(0.040188447069122064+6.606747910473153e-17j),(-4.185308163926759+2.6587691555505337e-17j)
112,1.12,(3.177725013710462+1.2703842427685422e-16j),(-0.3920063913140566-1.0464255523917762e-16j),(-4.073362251821206+7.160342819385085e-17j)
113,1.1300000000000001,(3.172343126984929+3.0494535353874966e-16j),(-0.38571058741599445-2.6175154988103177e-16j),(-3.9582789722814007-3.148959350096214e-17j)
114,1.1400000000000001,(3.1646563613004095+1.8052338707741814e-16j),(-0.9452633247620219+7.462599495467778e-17j),(-3.8427847048696315-7.606226876360361e-17j)
